std_competency,competency_family,domain,month,quarter_code,row_type,source_tool,source_tool_label,tool_family,is_did_point,stacking_status,measure_unit,metric_basis,clearance_rule,n,n_schools,pct_students_cleared,se,ci95_low,ci95_high,has_clearance_value,pct_cleared_tool_flag,mean_pct_score,median_pct_score,sd_pct_score,mean_cpm,median_cpm,n_distinct_scores,perfect_score_required,stability_flag,reliability_flags,pooling_method,prev_month,months_gap,mom_change_pp,same_tool_family_as_prev,change_defensibility,raw_keys
independent_writing,writing,literacy,2026-03,Q4_2025,trend_point,did_midline,25-26 End of Year (Mar 2026),did,True,single_source,pct,slide_top_band_gt75,slide top band (>75%),177.0,,28.0,,,,True,,34.0,,,,,,False,robust,slide_band_gt75_not_ge75;single_source,single_source,,,,,,M_Independent Writing
independent_writing,writing,literacy,2026-03,Q4_2025,source_detail,did_midline,25-26 End of Year (Mar 2026),did,True,single_source,pct,slide_top_band_gt75,slide top band (>75%),177.0,,28.0,,,,True,,34.0,,,,,,False,robust,slide_band_gt75_not_ge75;single_source,,,,,,,M_Independent Writing
letter_naming_fluency,letter_recognition,literacy,2025-11,Q3_2025,source_detail,did_baseline,DiD baseline (Nov 2025),did,True,stack,cpm,did_pct_correct,CPM mean only; no % value,,,,,,,False,,,,,34.400000000000006,,,False,n_unknown,no_clearance_value,,,,,,,B_Letter Naming Timed
letter_naming_fluency,letter_recognition,literacy,2026-03,Q4_2025,source_detail,did_midline,25-26 End of Year (Mar 2026),did,True,stack,cpm,slide_top_band_gt75,no benchmark for this timed measure,177.0,,,,,,False,,,,,,,,False,robust,no_clearance_value,,,,,,,M_Letter Naming (Timed)
letter_recognition,letter_recognition,literacy,2025-08,Q2_2025,trend_point,aug_tool,Aug tool / Q2 2025 tool,aug_tool,False,stack_with_caveat,pct,pct_students_cleared,>=75% of items,22.0,6.0,81.81818181818183,8.223036670302644,61.482978023362136,92.69323397589488,True,90.9090909090909,81.25,87.5,24.013265183267034,,,6.0,False,thin,thin_n;crosswalk_caveat,single_source,,,,,,A_LID
letter_recognition,letter_recognition,literacy,2025-08,Q2_2025,source_detail,aug_tool,Aug tool / Q2 2025 tool,aug_tool,False,stack_with_caveat,pct,pct_students_cleared,>=75% of items,22.0,6.0,81.81818181818183,8.223036670302644,61.482978023362136,92.69323397589488,True,90.9090909090909,81.25,87.5,24.013265183267034,,,6.0,False,thin,thin_n;crosswalk_caveat,,,,,,,A_LID
letter_recognition,letter_recognition,literacy,2025-09,Q2_2025,trend_point,aug_tool,Aug tool / Q2 2025 tool,aug_tool,False,stack_with_caveat,pct,pct_students_cleared,>=75% of items,59.0,12.0,81.35593220338984,5.070361728907833,69.62080757461749,89.25738776095642,True,94.91525423728814,83.26271186440678,87.5,20.96926238408943,,,7.0,False,moderate,crosswalk_caveat,single_source,2025-08,1,-0.4622496147919861,True,within_tool,A_LID
letter_recognition,letter_recognition,literacy,2025-09,Q2_2025,source_detail,aug_tool,Aug tool / Q2 2025 tool,aug_tool,False,stack_with_caveat,pct,pct_students_cleared,>=75% of items,59.0,12.0,81.35593220338984,5.070361728907833,69.62080757461749,89.25738776095642,True,94.91525423728814,83.26271186440678,87.5,20.96926238408943,,,7.0,False,moderate,crosswalk_caveat,,,,,,,A_LID
letter_recognition,letter_recognition,literacy,2025-10,Q3_2025,trend_point,q3_2025_tool,Q3 2025 tool,q3_2025_tool,False,stack_with_caveat,pct,pct_students_cleared,>=75% of items,20.0,5.0,85.0,7.984359711335657,63.95767041130426,94.7632208040504,True,85.0,85.625,100.0,23.39414850364352,,,5.0,False,thin,thin_n;crosswalk_caveat,single_source,2025-09,1,3.644067796610159,False,cross_tool_caveat,Q3_LMR
letter_recognition,letter_recognition,literacy,2025-10,Q3_2025,source_detail,q3_2025_tool,Q3 2025 tool,q3_2025_tool,False,stack_with_caveat,pct,pct_students_cleared,>=75% of items,20.0,5.0,85.0,7.984359711335657,63.95767041130426,94.7632208040504,True,85.0,85.625,100.0,23.39414850364352,,,5.0,False,thin,thin_n;crosswalk_caveat,,,,,,,Q3_LMR
